predictor,label,Effect,NumDF,DenDF,ChiSq,FValue,ProbChiSq,ProbF,fdr_p
meandonationtime,BASOF,predspline,2,1930,3.18,1.59,0.2037035151,2.0397059E-01,0.5905013387
timesincecat,BILI,predictorvalue,3,22362,4.58,1.53,0.2051382958,2.0517000E-01,0.5905013387
timesincecat,EOSINO,predictorvalue,3,1915,4.58,1.53,0.2050795225,2.0544946E-01,0.5905013387
meanweekday,ERYTRO,predictorvalue,5,36602,7.20,1.44,0.2061935128,2.0622251E-01,0.5905013387
meandonorsex,KREA,predictorvalue,1,50332,1.60,1.60,0.2065163431,2.0652219E-01,0.5905013387
donorparity,FERRITIN,predictorvalue,2,2563,3.15,1.57,0.2072035736,2.0740381E-01,0.5905013387
donorparity,LYMF,predictorvalue,2,1920,3.14,1.57,0.2082162168,2.0848313E-01,0.5905013387
meanstoragetime,BILI_K,predspline,2,4814,3.11,1.55,0.2116412676,2.1174726E-01,0.594913819
numdoncat,LD,predictorvalue,4,6690,5.83,1.46,0.2123374425,2.1246922E-01,0.594913819
meandonationtime,HAPTO,predspline,2,369,3.05,1.53,0.2174507434,2.1881941E-01,0.6083784234
meandonorsex,EGFR,predictorvalue,1,7813,1.50,1.50,0.221137666,2.2117456E-01,0.6083784234
meanweekday,ASAT,predictorvalue,5,15276,6.98,1.40,0.221886807,2.2195483E-01,0.6083784234
meandonationtime,MYELO,predspline,2,354,3.02,1.51,0.2208248132,2.2224436E-01,0.6083784234
meandonorsex,ASAT,predictorvalue,1,15277,1.45,1.45,0.2288987396,2.2891738E-01,0.6180322389
meanweekday,LPK,predictorvalue,5,56342,6.88,1.38,0.2296424259,2.2966066E-01,0.6180322389
numdoncat,NEUTRO,predictorvalue,4,10906,5.62,1.40,0.2297884791,2.2986731E-01,0.6180322389
donorparity,MONO,predictorvalue,2,1927,2.93,1.46,0.2313555935,2.3161273E-01,0.6180322389
meandonorsex,LAKTAT,predictorvalue,1,18871,1.43,1.43,0.2320623937,2.3207741E-01,0.6180322389
meandonationtime,MCV,predspline,2,36698,2.88,1.44,0.2363652236,2.3637862E-01,0.6260839205
